b'pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode\r\n'
b'HS,2011,201109,September 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,98152,,,0\r\n'
b'HS,2011,201110,October 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7982101472,,,0\r\n'
b'HS,2011,201110,October 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5177565772,,,0\r\n'
b'HS,2011,201111,November 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8082379759,,,0\r\n'
b'HS,2011,201111,November 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5189293491,,,0\r\n'
b'HS,2011,201111,November 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,526630,,,0\r\n'
b'HS,2011,201112,December 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7162697840,,,0\r\n'
b'HS,2011,201112,December 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5558168643,,,0\r\n'
b'HS,2011,201112,December 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,19417,,,0\r\n'
b'HS,2012,201201,January 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8275620151,,,0\r\n'
b'HS,2012,201201,January 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5529817055,,,0\r\n'
b'HS,2012,201201,January 2012,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,1456,,,0\r\n'
b'HS,2012,201202,February 2012,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7263000993,,,0\r\n'
b'HS,2012,201202,February 2012,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5037094917,,,0\r\n'
