Oil: Refinery Capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,
Thousand barrels daily*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,_,0.2%,
Other Europe & Eurasia,64,76,76,169,189,246,309,327,330,337,337,314,358,404,554,624,624,674,674,674,694,749,749,750,752,752,675,596,598,600,600,611,615,564,554,487,492,457,457,430,430,411,411,408,430,434,414,436,437,454,463,2.0%,0.5%,
Total Europe & Eurasia,13194,15012,16822,18343,20288,21968,23903,25421,27261,29064,30539,31927,32624,32343,32017,32002,31600,30328,29357,28733,28254,28143,28175,27989,27796,27661,27772,26594,26301,25956,25422,25303,25189,25244,25234,25032,24908,24843,24666,24626,24649,24815,24554,24565,24396,24188,24244,23551,23635,23632,23635,_,24.3%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,467,524,524,594,594,594,605,605,660,690,810,810,1050,1081,1086,590,590,590,632,680,685,685,780,790,860,880,995,1045,1220,1255,1315,1315,1436,1597,1647,1647,1647,1647,1692,1692,1692,1772,1772,1805,1860,1860,1860,1952,1985,1985,1985,_,2.0%,
Iraq,79,82,82,103,103,103,109,115,115,186,186,186,186,210,302,319,191,278,430,520,520,530,530,530,580,600,370,578,628,628,648,658,708,708,718,718,718,718,718,718,728,743,738,738,853,914,935,971,823,931,933,0.2%,1.0%,
Israel,87,95,109,109,102,125,133,147,212,201,181,201,201,194,194,194,194,194,200,210,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,272,275,275,280,292,292,294,301,301,_,0.3%,
Kuwait,342,360,360,440,469,469,541,523,523,523,563,577,577,579,579,579,554,534,534,704,584,684,844,844,844,280,140,380,464,764,824,854,906,926,926,680,764,814,914,936,936,936,936,936,936,936,936,936,936,936,936,_,1.0%,
Qatar,1,1,1,1,1,1,1,1,1,7,7,9,10,11,11,13,13,12,63,56,56,62,62,62,62,62,60,60,58,58,62,62,62,62,62,62,62,137,137,137,137,137,137,137,283,283,283,283,283,283,283,_,0.3%,
Saudi Arabia,303,335,335,347,347,676,676,676,676,676,703,703,703,645,690,700,820,820,1010,1260,1510,1540,1565,1565,1915,1860,1645,1660,1670,1683,1692,1699,1704,1762,1808,1798,1810,1814,2054,2079,2107,2107,2107,2107,2109,2109,2107,2107,2507,2899,2899,_,3.0%,
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,135,135,180,180,180,180,180,180,180,185,192,202,215,220,220,273,279,220,340,630,674,711,620,620,620,620,625,680,700,700,705,710,710,1143,1143,_,1.2%,
Other Middle East,423,436,434,437,473,498,489,530,531,544,611,614,578,602,605,725,773,823,830,830,830,860,870,870,833,823,838,818,818,818,818,818,818,823,836,836,838,841,841,841,841,957,972,978,978,978,978,978,864,864,864,_,0.9%,
Total Middle East,1702,1833,1845,2031,2089,2466,2554,2597,2718,2827,3061,3115,3320,3337,3482,3135,3270,3386,3879,4440,4635,4811,5101,5111,5544,4960,4510,5013,5343,5696,5849,5949,6183,6368,6607,6641,6783,6952,7246,7293,7331,7542,7559,7656,7994,8060,8096,8229,8402,9342,9344,_,9.6%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,54,54,54,54,54,58,58,116,116,116,116,116,116,110,134,440,440,440,440,440,440,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,443,443,443,443,444,554,554,652,652,647,651,651,_,0.7%,
Egypt,181,181,136,131,80,175,175,175,175,175,201,223,293,314,314,324,361,386,386,433,433,443,523,576,583,583,583,592,633,633,633,645,645,645,645,654,770,810,810,810,810,810,810,810,810,822,840,840,840,840,840,_,0.9%,
South Africa,305,395,395,395,395,395,473,473,473,473,473,473,473,473,491,491,491,491,388,324,324,324,324,324,324,324,324,324,380,451,461,464,466,466,476,481,486,505,514,517,520,520,520,520,520,520,520,520,520,520,520,_,0.5%,
Other Africa,283,311,319,363,363,387,404,421,484,585,616,692,710,838,918,985,985,1050,1047,1234,1270,1296,1311,1316,1426,1416,1416,1416,1420,1267,1337,1414,1252,1272,1334,1283,1438,1383,1378,1281,1385,1262,1264,1339,1199,1301,1247,1453,1563,1578,1578,_,1.6%,
Total Africa,823,941,904,943,893,1016,1110,1186,1249,1350,1406,1504,1592,1735,1857,2240,2277,2367,2261,2431,2467,2497,2592,2650,2767,2757,2757,2766,2867,2785,2865,2957,2797,2817,2889,2852,3128,3132,3136,3051,3158,3035,3037,3113,3083,3197,3259,3465,3569,3589,3589,_,3.7%,
